Shinsengumi	chara042003_02.bytes	159	The Shinsengumi were a Japanese police force formed in the 1860's that protected shogunate representatives during a crucial time in Japanese history.
That TV show	chara042003_03.bytes	147	This story has a few references to the tokusatsu show Space Sheriff Gavan. When Gavan transforms, he says "Jouchaku" (often translated as Electroplate or Metamorphosis), and it takes 0.05 seconds for his suit to deploy. When Keiichi transformed, he said "Souchaku" which means "to equip". I went with Armorize to really sell the toku cheesiness.
